language,mode,command,description
tw,EX 指令,:tabN[ext],跳到上一個標籤頁。
tw,EX 指令,:tabo[nly],關閉所有除了當前標籤頁以外的所有標籤頁。
tw,EX 指令,:tabp[revious],轉到前一個標籤頁。
tw,EX 指令,:tabr[ewind],轉到第一個標籤頁。
tw,EX 指令,:tabs,列出標籤頁以及裡面包含的內容。
tw,EX 指令,:ta[g],跳轉到標籤上。
tw,EX 指令,:tags,顯示標籤棧的內容。
tw,EX 指令,:tc[l],執行 Tcl 指令。
tw,EX 指令,:tcld[o],為每行執行 Tcl 指令。
tw,EX 指令,:tclf[ile],執行 Tcl 指令檔。
tw,EX 指令,:te[aroff],撕下一個選單。
tw,EX 指令,:tf[irst],轉到第一個符合的標籤。
tw,EX 指令,:th[row],拋出例外。
tw,EX 指令,:tj[ump],"類似於 "":tselect""，只有一個符合時直接跳轉之。"
tw,EX 指令,:tl[ast],跳轉到最後一個符合的標籤。
tw,EX 指令,:tm[enu],定義選單的工具提示。
tw,EX 指令,:tn[ext],跳轉到下一個符合的標籤。
tw,EX 指令,:tN[ext],跳轉到上一個符合的標籤。
tw,EX 指令,:to[pleft],使得分割的視窗出現在頂部或者最左邊。
tw,EX 指令,:tp[revious],跳轉到上一個符合的標籤。
tw,EX 指令,:tr[ewind],跳轉到第一個符合的標籤。
tw,EX 指令,:try,執行指令，錯誤或者例外時終止。
tw,EX 指令,:ts[elect],列出符合的標籤並從中選擇一個。
tw,EX 指令,:tu[nmenu],刪除選單的工具提示。
tw,EX 指令,:una[bbreviate],刪除縮寫。
tw,EX 指令,:u[ndo],還原最近的變更。
tw,EX 指令,:undoj[oin],將下一個變更和上一個還原區塊合併。
tw,EX 指令,:undol[ist],列出還原樹的葉節點。
tw,EX 指令,:unh[ide],為緩衝區清單裡每個載入的檔案開啟視窗。
tw,EX 指令,:unl[et],刪除變數。
tw,EX 指令,:unlo[ckvar],給變數解鎖。
tw,EX 指令,:unm[ap],刪除映射。
tw,EX 指令,:unme[nu],刪除選單。
tw,EX 指令,:uns[ilent],非安靜模式執行指令。
tw,EX 指令,:up[date],如果有修改，寫回緩衝區。
tw,EX 指令,:verb[ose],執行指令，過程中設定 'verbose'。
tw,EX 指令,:ve[rsion],顯示版本編號和其它資訊。
tw,EX 指令,:vert[ical],使得跟隨的指令垂直分割。
tw,EX 指令,:v[global],對不符合的行，執行指令。
tw,EX 指令,:vie[w],以唯讀方式編輯檔案。
tw,EX 指令,:vim[grep],在若干檔案裡尋找模式。
tw,EX 指令,:vimgrepa[dd],類似於 :vimgrep，但附加到當前清單。
tw,EX 指令,:vi[sual],"等同於 "":edit""，但關掉 ""Ex"" 模式。"
tw,EX 指令,:viu[sage],一般模式指令的總覽。
tw,EX 指令,:vm[ap],"類似於 "":map""，但使用可視+選擇模式。"
tw,EX 指令,:vmapc[lear],刪除可視+選擇模式所有的映射。
tw,EX 指令,:vme[nu],為可視+選擇模式增加選單。
tw,EX 指令,:vne[w],建立新的空白視窗，垂直分割。
tw,EX 指令,:vn[oremap],"類似於 "":noremap""，但使用可視+選擇模式。"
tw,EX 指令,:vnoreme[nu],"類似於 "":noremenu""，但使用可視+選擇模式。"
tw,EX 指令,:vs[plit],垂直分割當前視窗。
tw,EX 指令,:vu[nmap],"類似於 "":unmap""，但使用可視+選擇模式。"
tw,EX 指令,:vunme[nu],刪除可視+選擇模式的選單。
tw,EX 指令,:wa[ll],寫回所有 (變更的) 緩衝區。
tw,EX 指令,:wh[ile],只要條件滿足，執行循環體。
tw,EX 指令,:winc[md],執行視窗 (CTRL-W) 指令。
tw,EX 指令,:windo,為每個視窗執行指令。
tw,EX 指令,:winp[os],取得或者設定視窗位置。
tw,EX 指令,:wi[nsize],取得或者設定視窗大小 (已廢棄)。
tw,EX 指令,:wn[ext],寫回檔案，然後跳轉到參數清單的下一個檔案。
tw,EX 指令,:wN[ext],寫回檔案，然後跳轉到參數清單的前一個檔案。
tw,EX 指令,:wp[revious],寫回檔案，然後跳轉到參數清單的前一個檔案。
tw,EX 指令,:wq,寫回檔案，然後退出視窗或者 Vim。
tw,EX 指令,:wqa[ll],寫回所有 (變更的) 緩衝區然後退出 Vim。
tw,EX 指令,:w[rite],寫回檔案。
tw,EX 指令,:ws[verb],把動詞通過 IPC 發送給 workshop。
tw,EX 指令,:wu[ndo],把還原資訊寫入檔案。
tw,EX 指令,:wv[iminfo],寫入 viminfo 檔。
tw,EX 指令,:X,請求加密密鑰。
tw,EX 指令,:xa[ll],"等同於 "":wqall""。"
tw,EX 指令,:x[it],如果緩衝區被改動，寫入之後退出視窗或者 Vim。
tw,EX 指令,:xm[ap],"類似於 "":map""，但使用可視模式。"
tw,EX 指令,:xmapc[lear],刪除可視模式的所有映射。
tw,EX 指令,:xme[nu],增加可視模式的選單。
tw,EX 指令,:xn[oremap],"類似於 "":noremap""，但使用可視模式。"
tw,EX 指令,:xnoreme[nu],"類似於 "":noremenu""，但使用可視模式。"
tw,EX 指令,:xu[nmap],"類似於 "":unmap""，但使用可視模式。"
tw,EX 指令,:xunme[nu],刪除可視模式的選單。
tw,EX 指令,:y[ank],抽出行到暫存器。
tw,EX 指令,:z,顯示一些行。
tw,'g' 開始的指令,g#,"類似於 ""#""，但不使用 ""<"" 和 "">""。"
tw,'g' 開始的指令,g&,"在所有行上重複上次的 "":s""。"
tw,'g' 開始的指令,g*,"類似於 ""*""，但不使用 ""<"" 和 "">""。"
tw,'g' 開始的指令,g<,顯示上次的指令輸出。
tw,'g' 開始的指令,g?,Rot13 編碼操作符。
tw,'g' 開始的指令,g??,Rot13 編碼該行。
tw,'g' 開始的指令,g],:tselect 到游標所在的標籤上。
tw,'g' 開始的指令,g^,'wrap' 關閉時轉到該行最左側畫面上可見的非空白字元 'wrap' 開啟時轉到該畫面行最左側的非空白字元。
tw,'g' 開始的指令,g$,'wrap' 關閉時轉到該行最右側畫面上可見的字元 'wrap' 開啟時轉到該畫面行最右側的字元。
tw,'g' 開始的指令,g0,'wrap' 關閉時轉到該行最左側畫面上可見的字元'wrap' 開啟時轉到該畫面行最左側的字元。
tw,'g' 開始的指令,g8,顯示游標所在的 UTF-8 字元的十六進制字節碼。
tw,'g' 開始的指令,ga,印出游標所在處的字元的 ascii 值。
tw,'g' 開始的指令,g CTRL-],|:tjump| 到游標所在的標籤上。
tw,'g' 開始的指令,g CTRL-A,只有在編譯時加入了 MEM_PROFILE 時才有定義:轉存記憶體內容。
tw,'g' 開始的指令,g CTRL-G,顯示當前游標位置。
tw,'g' 開始的指令,g CTRL-H,啟動選擇列塊模式。
tw,'g' 開始的指令,gd,轉到當前函數裡當前游標所在的單字的定義。
tw,'g' 開始的指令,gD,轉到當前檔案的游標所在單字的定義。
tw,'g' 開始的指令,g<Down>,"等同於 ""gj""。"
tw,'g' 開始的指令,ge,反向轉到前一個單字的結尾處。
tw,'g' 開始的指令,gE,反向轉移到上一個 word 的結尾處。
tw,'g' 開始的指令,g<End>,"等同於 ""g$""。"
tw,'g' 開始的指令,gf,開始編輯當前游標所在的名字對應的檔案。
tw,'g' 開始的指令,gF,開始編輯游標所在的檔名並跳轉到檔名後的行號上。
tw,'g' 開始的指令,g?g?,Rot13 編碼該行。
tw,'g' 開始的指令,gg,游標移動到第 N 行，預設是第一行。
tw,'g' 開始的指令,gh,開始選擇模式。
tw,'g' 開始的指令,gH,啟動選擇行模式。
tw,'g' 開始的指令,g<Home>,"等同於 ""g0""。"
tw,'g' 開始的指令,gi,"類似於 ""i""，但先移動到 |'^| 位置標記。"
tw,'g' 開始的指令,gI,"類似於 ""I""，但總是從第一列開始。"
tw,'g' 開始的指令,gj,"類似於 ""j""，但 'wrap' 開啟時往下 N 個畫面行。"
tw,'g' 開始的指令,gJ,連接行，不插入空格。
tw,'g' 開始的指令,gk,"類似於 ""k""，但 'wrap' 開啟時往上 N 個畫面行。"
tw,'g' 開始的指令,g<LeftMouse>,等同於 <C-LeftMouse>。
tw,'g' 開始的指令,gm,轉到當前行正中間的那個字元。
tw,'g' 開始的指令,g'{mark},類似於 |'|，但不變更跳轉表。
tw,'g' 開始的指令,g`{mark},類似於 |`|，但不改表跳轉表。
tw,'g' 開始的指令,g<MiddleMouse>,等同於 <C-MiddleMouse>。
tw,'g' 開始的指令,g@{motion},調用 'operatorfunc'。
tw,'g' 開始的指令,g~{motion},變更 Nmove text 的大小寫。
tw,'g' 開始的指令,go,游標移動到緩衝區的第 N 個字節。
tw,'g' 開始的指令,gq{motion},排版 Nmove text。
tw,'g' 開始的指令,gR,進入虛擬替換模式。
tw,'g' 開始的指令,gr{char},虛擬替換 N 個字元為 {char}。
tw,'g' 開始的指令,g<RightMouse>,等同於 <C-RightMouse>。
tw,'g' 開始的指令,gs,睡眠 N 秒 (預設 1)。
tw,'g' 開始的指令,gu{motion},使得 Nmove text 全部小寫。
tw,'g' 開始的指令,gU{motion},使得 Nmove text 全部大寫。
tw,'g' 開始的指令,g<Up>,"等同於 ""gk""。"
tw,'g' 開始的指令,gv,重新選擇上次的可視區域。
tw,'g' 開始的指令,gV,在執行選擇模式下的映射或者選單時，不要重複選擇過去的可視區域。
tw,'g' 開始的指令,gw{motion},排版 Nmove text 並保持游標位置。
tw,'g' 開始的指令,gx,執行游標下的檔名對應的應用程式 (僅限於 |netrw| 外掛程式)。
tw,'g' 開始的指令,"[""x]gp",在游標後面放置 text [從暫存器 x] N 次，游標留在後面。
tw,'g' 開始的指令,"[""x]gP",在游標籤放置 text [從暫存器 x] N 次，游標留在插入 text 之後。
tw,submode,CTRL-X CTRL-],補齊標籤。
tw,submode,CTRL-X CTRL-D,補齊定義過的標識符號。
tw,submode,CTRL-X CTRL-E,上捲。
tw,submode,CTRL-X CTRL-F,補齊檔案名稱。
tw,submode,CTRL-X CTRL-I,補齊標識符號。
tw,submode,CTRL-X CTRL-K,從字典補齊標識符號。
tw,submode,CTRL-X CTRL-L,補齊完整的行。
tw,submode,CTRL-X CTRL-N,下一個補齊。
tw,submode,CTRL-X CTRL-O,全能 (omni) 補齊。
tw,submode,CTRL-X CTRL-P,上一個補齊。
tw,submode,CTRL-X CTRL-S,拼寫建議。
tw,submode,CTRL-X CTRL-T,從同義詞詞典補齊標識符號。
tw,submode,CTRL-X CTRL-U,用 'completefunc' 補齊。
tw,submode,CTRL-X CTRL-V,如同 : 命令列那樣補齊。
tw,submode,CTRL-X CTRL-Y,向下捲動。
tw,submode,CTRL-X s,拼寫建議。
tw,Text objects,"a""",雙引號字元串。
tw,Text objects,a',單引號字元串。
tw,Text objects,a(,等同於 ab。
tw,Text objects,a),等同於 ab。
tw,Text objects,a<,"""一個 <> 塊"" 從 '<' 到符合的 '>'。"
tw,Text objects,a>,等同於 a<。
tw,Text objects,a[,"""一個 [] 塊"" 從 '[' 到符合的 ']'。"
tw,Text objects,a],等同於 a[。
tw,Text objects,a`,反引號字元串。
tw,Text objects,a{,等同於 aB。
tw,Text objects,a},等同於 aB。
tw,Text objects,ab,"""一個塊"" 從 ""[("" 到 ""])"" (帶上括號)。"
tw,Text objects,aB,"""一個大塊"" 從 ""[{"" 到 ""]}"" (帶上括號)。"
tw,Text objects,ap,"""一個段落"" (帶上空白)。"
tw,Text objects,as,"""一個句子"" (帶上空白)。"
tw,Text objects,at,"""一個標籤塊"" (帶上空白)。"
tw,Text objects,aw,"""一個單字"" (帶上空白)。"
tw,Text objects,aW,"""一個字串"" (帶上空白)。"
tw,Text objects,"i""",雙引號字元串，不帶引號。
tw,Text objects,i',單引號字元串，不帶引號。
tw,Text objects,i(,等同於 ib。
tw,Text objects,i),等同於 ib。
tw,Text objects,i<,"""內含 <> 塊"" 從 '<' 到符合的 '>'。"
tw,Text objects,i>,等同於 i<。
tw,Text objects,i[,"""內含 [] 塊"" 從 '[' 到符合的 ']'。"
tw,Text objects,i],等同於 i[。
tw,Text objects,i`,反引號字元串，不帶反引號。
tw,Text objects,i{,等同於 iB。
tw,Text objects,i},等同於 iB。
tw,Text objects,ib,"""內含塊"" 從 ""[("" 到 ""])""。"
tw,Text objects,iB,"""內含大塊"" 從 ""[{"" 到 ""]}""。"
tw,Text objects,ip,"""內含段落""。"
tw,Text objects,is,"""內含句子""。"
tw,Text objects,it,"""內含標籤塊""。"
tw,Text objects,iw,"""內含單字""。"
tw,Text objects,iW,"""內含字串""。"
tw,'z' 開始的指令,z+,"游標移動到第 N 行 (預設為視窗之後的第一行)，其它同 ""z<CR>""。"
tw,'z' 開始的指令,z-,重繪，游標移動到視窗末行的第一個非空白字元。
tw,'z' 開始的指令,z.,重繪，游標移動到視窗的中間行的第一個非空白字元。
tw,'z' 開始的指令,z=,取得拼字建議 (需先啟用 spell)。
tw,'z' 開始的指令,z^,"游標移動到第 N 行 (預設為視窗之前的一行)，其它同 ""z-""。"
tw,'z' 開始的指令,za,開啟關閉的摺疊，或關閉開啟的摺疊。
tw,'z' 開始的指令,zA,遞迴開啟一個關閉的摺疊或關閉一個開啟的摺疊。
tw,'z' 開始的指令,zb,重繪，游標在視窗底行。
tw,'z' 開始的指令,zc,關閉摺疊。
tw,'z' 開始的指令,zC,遞迴關閉摺疊。
tw,'z' 開始的指令,z<CR>,重繪，游標移動到視窗的頂行的第一個非空白字元。
tw,'z' 開始的指令,zd,刪除摺疊。
tw,'z' 開始的指令,zD,遞迴刪除摺疊。
tw,'z' 開始的指令,ze,'wrap' 關閉時，水平滾動使得游標定位到畫面的尾部 (最右側)。
tw,'z' 開始的指令,zE,除去所有摺疊。
tw,'z' 開始的指令,zF,為 N 行建立摺疊。
tw,'z' 開始的指令,zf{motion},為 Nmove text 建立摺疊。
tw,'z' 開始的指令,zg,把單字標記為拼寫正確 (good)。
tw,'z' 開始的指令,zG,把單字標記為拼寫正確 (good)。
tw,'z' 開始的指令,zh,'wrap' 關閉時，水平右捲畫面 N 個字元。
tw,'z' 開始的指令,z{height}<CR>,重繪，使得視窗高度為 {height} 行。
tw,'z' 開始的指令,zi,切換 'foldenable'。
tw,'z' 開始的指令,zj,移動到下一個摺疊的開始處。
tw,'z' 開始的指令,zk,移動到前一個摺疊的結束處。
tw,'z' 開始的指令,zl,'wrap' 關閉時，水平左捲畫面 N 個字元。
tw,'z' 開始的指令,z<Left>,"等同於 ""zh""。"
tw,'z' 開始的指令,zm,從 'foldlevel' 減 1。。
tw,'z' 開始的指令,zM,設定 'foldlevel' 為零。
tw,'z' 開始的指令,zn,復位 'foldenable'，所有的摺疊被開啟。。
tw,'z' 開始的指令,zN,置位 'foldenable'。
tw,'z' 開始的指令,zo,開啟摺疊。
tw,'z' 開始的指令,zO,遞迴開啟摺疊。
tw,'z' 開始的指令,zr,給 'foldlevel' 加 1。
tw,'z' 開始的指令,zR,設定 'foldlevel' 為最大摺疊級別。
tw,'z' 開始的指令,z<Right>,"等同於 ""zl""。"
tw,'z' 開始的指令,zs,'wrap' 關閉時，水平滾動使得游標定位到畫面的起始處 (最左側)。
tw,'z' 開始的指令,zt,重繪，游標移動到視窗的頂部。
tw,'z' 開始的指令,zv,開啟足夠的摺疊，使得該行可見。
tw,'z' 開始的指令,zw,把單字標記為拼字錯誤 (wrong)。
tw,'z' 開始的指令,zW,把單字標記為拼字錯誤 (wrong)。
tw,'z' 開始的指令,zx,"重新應用 'foldlevel' 然後執行 ""zv""。"
tw,'z' 開始的指令,zX,重新應用 'foldlevel'。
tw,'z' 開始的指令,zz,重繪，游標移動到視窗的中間行。
tw,一般模式,#,反向搜尋第 N 次出現的游標所在的標識符號。
tw,一般模式,%,尋找本行下一個括號 ({}/[])，並轉到其符合的括號上，或者轉到符合的註釋配對上，或者轉到符合的預處理指令上。。
tw,一般模式,&,重複上次 :s。
tw,一般模式,'',游標移動到最近一次跳轉之前所在行的第一個字元上。
tw,一般模式,'(,游標移動到該句的首部所在行的第一個字元上。
tw,一般模式,'),游標移動到該句的尾部所在行的第一個字元上。
tw,一般模式,'<,游標移動到該緩衝區高亮 (highlight) 區開始/曾經開始的行的第一個字元上。
tw,一般模式,'>,游標移動到該緩衝區高亮 (highlight) 區結束/曾經結束的行的第一個字元上。
tw,一般模式,'[,到上次改變或者抽出的文字的第一個字元。
tw,一般模式,'],到上次改變或者抽出文字的最後一個字元。
tw,一般模式,'{,游標移動到該段的首部所在行的第一個字元上。
tw,一般模式,'},游標移動到該段的尾部所在行的第一個字元上。
tw,一般模式,(,游標回退 N 個句子。
tw,一般模式,),游標前進 N 個句子。
tw,一般模式,*,正向搜尋第 N 次出現的游標所在的標識符號。
tw,一般模式,+,等同於 <CR>。
tw,一般模式,",",反方向重複最近的 f、t、F 或 T N 次。
tw,一般模式,-,游標移動到上方 N 行的第一個字元上。
tw,一般模式,.,重複最近的變更，其計數被 N 取代。
tw,一般模式,:,開始進入 Ex 指令。
tw,一般模式,;,重複最近的 f、t、F 或 T N 次。
tw,一般模式,<<,左移 N 行一個 'shiftwidth'。
tw,一般模式,==,"通過 ""indent"" 過濾 N 行。"
tw,一般模式,>>,右移 N 行一個 'shiftwidth'。
tw,一般模式,@:,"重複上次的 "":"" 指令 N 次。"
tw,一般模式,@@,重複上次的 @{a-z} N 次。
tw,一般模式,^,將游標移動到本行的第一個字元上。
tw,一般模式,_,游標移動到下方第 N - 1 行的第一個字元上。
tw,一般模式,`(,游標移動該句的開始處。
tw,一般模式,`),游標移動該句的結束處。
tw,一般模式,`<,游標移動高亮 (highlight) 區域的開始處。
tw,一般模式,`>,游標移動高亮 (highlight) 區域的結束處。
tw,一般模式,`[,到上次改變或者抽出的文字的第一個字元。
tw,一般模式,`],到上次改變或者抽出文字的最後一個字元。
tw,一般模式,``,游標移動最近一次跳轉的位置。
tw,一般模式,`{,游標移動到該段的開始處。
tw,一般模式,`},游標移動到該段的結束處。
tw,一般模式,{,游標反向移動 N 個段落。
tw,一般模式,|,游標移到第 N 列。
tw,一般模式,},游標正向移動 N 個段落。
tw,一般模式,~,'tildeop' 關閉時: 切換游標所在處開始的 N 個字元的大小寫，並右移游標 N 個字元。
tw,一般模式,$,游標移動到往下第 N 行的行尾之後。
tw,一般模式,0,將游標移動到本行的第一個字元上。
tw,一般模式,"1,2,3,4,5,6,7,8,9",附加於指令前，給出計數。
tw,一般模式,a,在游標處附加 text N 次。
tw,一般模式,A,在行尾附加 text N 次。
tw,一般模式,@{a-z},執行 {a-z} 暫存器的內容 N 次。
tw,一般模式,"""{a-zA-Z0-9.%#:-""}","指定下次刪除、抽出或放置使用的暫存器{a-zA-Z0-9.%#:-""} (大寫用於添加)({.%#:} 只能用於放置)。"
tw,一般模式,'{a-zA-Z0-9},游標移動到位置標記 {a-zA-Z0-9} 所在行的第一個字元上。
tw,一般模式,`{a-zA-Z0-9},游標移動到位置標記 {a-zA-Z0-9}。
tw,一般模式,b,游標反向移動 N 個單字。
tw,一般模式,B,游標反向移動 N 個 word (字串)。
tw,一般模式,<BS>,"等同於 ""h""。"
tw,一般模式,<C-End>,"等同於 ""G""。"
tw,一般模式,[{char},方括號指令 (見下 |[|)。
tw,一般模式,]{char},方括號指令 (見下 |]|)。
tw,一般模式,<C-Home>,"等同於 ""gg""。"
tw,一般模式,<C-Left>,"等同於 ""b""。"
tw,一般模式,<C-LeftMouse>,""":ta"" 到滑鼠點擊所在的單字上。"
tw,一般模式,{count}%,轉到檔案百分之 N 的位置上。
tw,一般模式,{count}:,開始進入 Ex 指令，給出從該行開始到下方 N-1 行為止的行範圍。
tw,一般模式,{count}<Del>,刪除 {count} 最後的一位數字。
tw,一般模式,/<CR>,正向搜尋最近一次搜尋使用的 {pattern}。
tw,一般模式,<CR>,游標移到 N 行下面的第一個字完。
tw,一般模式,?<CR>,反向搜尋最近一次搜尋使用的 {pattern}。
tw,一般模式,<C-Right>,"等同於 ""w""。"
tw,一般模式,<C-RightMouse>,"等同於 ""CTRL-T""。"
tw,一般模式,CTRL-],:ta 到游標所在的標識符號。
tw,一般模式,CTRL-^,"編輯第 N 個備用檔 (等同於 "":e #N"")。"
tw,一般模式,CTRL-A,增加當前游標上的數值或者字母 [count]。
tw,一般模式,CTRL- a - z,保留作外掛程式用。
tw,一般模式,CTRL-B,反向 (Back) 滾動 N 個畫面。
tw,一般模式,CTRL-C,終止當前的 (搜尋) 指令。
tw,一般模式,CTRL- CTRL-G,進入 'insertmode' 指定的模式。
tw,一般模式,CTRL- CTRL-N,進入一般模式 (Normal) 模式 (空動作)。
tw,一般模式,CTRL-D,向下 (Down) 滾動 N 行 (預設: 半個畫面)。
tw,一般模式,CTRL-E,向上捲動 N 行 (附加 (Extra) N 行)。
tw,一般模式,CTRL-F,向前 (Forward) 滾動 N 個畫面。
tw,一般模式,CTRL-G,顯示當前的檔名、檔案狀態 (唯讀、已修改 ...) 和游標位置。
tw,一般模式,CTRL-H,"等同於 ""h""。"
tw,一般模式,CTRL-I,等同於 <Tab>。
tw,一般模式,CTRL-J,"等同於 ""j""。"
tw,一般模式,CTRL-L,重繪畫面。
tw,一般模式,CTRL-M,等同於 <CR>。
tw,一般模式,CTRL-N,"等同於 ""j""。"
tw,一般模式,CTRL-O,跳轉到跳轉表裡第 N 個較舊的項目。
tw,一般模式,CTRL-P,"等同於 ""k""。"
tw,一般模式,CTRL-Q,(用於終端控制流程)。
tw,一般模式,CTRL-R,重做 'u' 還原的變更。
tw,一般模式,CTRL-S,(用於終端控制流程)。
tw,一般模式,CTRL-T,跳轉到標籤清單的第 N 個較舊的標籤 (Tag)。
tw,一般模式,CTRL-U,上捲 (Upwards) N 行 (預設: 半個畫面)。
tw,一般模式,CTRL-V,開始面向列塊的可視 (Visual) 模式。
tw,一般模式,CTRL-W {char},視窗指令，見 |CTRL-W|。
tw,一般模式,CTRL-X,減少當前游標上的數值或者字母 [count]。
tw,一般模式,CTRL-Y,向下捲動 N 行。
tw,一般模式,CTRL-Z,暫停程式 (或者啟動新的 shell)。
tw,一般模式,do,"等同於 "":diffget""。"
tw,一般模式,<Down>,"等同於 ""j""。"
tw,一般模式,dp,"等同於 "":diffput""。"
tw,一般模式,e,將游標正向移動到第 N 個 word 的結尾處。
tw,一般模式,E,將游標正向移動到第 N 個 word 的結尾處。
tw,一般模式,<End>,"等同於 ""$""。"
tw,一般模式,<F1>,等同於 <Help>。
tw,一般模式,f{char},游標右移到第 N 次出現的 {char} 上。
tw,一般模式,F{char},游標左移到第 N 次出現的 {char} 上。
tw,一般模式,!!{filter},通過 {filter} 指令過濾 N 行。
tw,一般模式,G,游標移動到第 N 行，預設是最後一行。
tw,一般模式,g{char},外掛程式指令，見下 |g|。
tw,一般模式,h,游標左移 N 個字元。
tw,一般模式,H,游標移動到畫面頂部開始算的第 N 行。
tw,一般模式,<Help>,開啟說明視窗。
tw,一般模式,<Home>,"等同於 ""0""。"
tw,一般模式,i,在游標前插入text N 次。
tw,一般模式,I,在本行第一個字元之前插入 text N 次。
tw,一般模式,<Insert>,"等同於 ""i""。"
tw,一般模式,j,游標下移 N 行。
tw,一般模式,J,連接 (Join) N 行；預設為 2。
tw,一般模式,k,游標上移 N 行。
tw,一般模式,K,尋找游標所在的關鍵字 (Keyword)，使用 'keywordprg' 的定義。
tw,一般模式,l,游標右移 N 個字元。
tw,一般模式,L,游標移動到畫面底部開始算的第 N 行。
tw,一般模式,<Left>,"等同於 ""h""。"
tw,一般模式,<LeftMouse>,移動游標到滑鼠點擊處。
tw,一般模式,M,游標移動到畫面的中間一行。
tw,一般模式,m{A-Za-z},在游標位置處設定位置標記 {A-Za-z}。
tw,一般模式,<MiddleMouse>,"等同於在滑鼠點擊處 ""gP""。"
tw,一般模式,<{motion},左移 Nmove text 行一個 'shiftwidth'。
tw,一般模式,={motion},"通過 ""indent"" 過濾 Nmove text 行。"
tw,一般模式,>{motion},右移 Nmove text 一個 'shiftwidth'。
tw,一般模式,~{motion},'tildeop' 開啟時: 切換 Nmove text 的大小寫。
tw,一般模式,!{motion}{filter}2,通過 {filter} 指令過濾 Nmove 文字。
tw,一般模式,n,重複最近的 '/' 或 '?' 搜尋 N 次。
tw,一般模式,N,反方向重複最近的 '/'  或 '?' 搜尋 N 次。
tw,一般模式,<NL>,"等同於 ""j""。"
tw,一般模式,o,在游標下方開始一個新行，並插入 text，重複 N次。
tw,一般模式,O,在游標上方開始一個新行，並插入 text，重複 N 次。
tw,一般模式,<PageDown>,等同於 CTRL-F。
tw,一般模式,<PageUp>,等同於 CTRL-B。
tw,一般模式,/{pattern}<CR>,正向搜尋第 N 次出現的 {pattern}。
tw,一般模式,?{pattern}<CR>,反向搜尋第 N 次出現的 {pattern}。
tw,一般模式,q,(在記錄時) 停止記錄。
tw,一般模式,q/,在命令列視窗裡編輯 / 命令列。
tw,一般模式,q:,在命令列視窗裡編輯 : 命令列。
tw,一般模式,q?,在命令列視窗裡編輯 ? 命令列。
tw,一般模式,Q,"切換到 ""Ex"" 模式。"
tw,一般模式,"q{0-9a-zA-Z""}","記錄輸入的字元到指令暫存器 {0-9a-zA-Z""}(大寫用於添加)。"
tw,一般模式,R,進入替換模式: 覆蓋存在的字元，重複輸入 text N-1 次。
tw,一般模式,r{char},用 {char} 替換 N 個字元。
tw,一般模式,<Right>,"等同於 ""l""。"
tw,一般模式,<RightMouse>,開始可視模式，移動游標到滑鼠點擊處。
tw,一般模式,<ScrollWheelDown>,視窗向下捲動三行。
tw,一般模式,<ScrollWheelLeft>,視窗向左捲動六列。
tw,一般模式,<ScrollWheelRight>,視窗向右捲動六列。
tw,一般模式,<ScrollWheelUp>,視窗向上捲動三行。
tw,一般模式,<S-Down>,等同於 CTRL-F。
tw,一般模式,<S-Left>,"等同於 ""b""。"
tw,一般模式,<S-LeftMouse>,"等同於在滑鼠點擊處 ""*""。"
tw,一般模式,<Space>,"等同於 ""l""。"
tw,一般模式,<S-Right>,"等同於 ""w""。"
tw,一般模式,<S-RightMouse>,"等同於在滑鼠點擊處 ""#""。"
tw,一般模式,<S-ScrollWheelDown>,視窗向下捲動一頁。
tw,一般模式,<S-ScrollWheelLeft>,視窗向左捲動一頁。
tw,一般模式,<S-ScrollWheelRight>,視窗向右捲動一頁。
tw,一般模式,<S-ScrollWheelUp>,視窗向上捲動一頁。
tw,一般模式,<S-Up>,等同於 CTRL-B。
tw,一般模式,<Tab>,跳轉到跳轉表裡第 N 個較新的項目。
tw,一般模式,t{char},游標移動到右側第 N 次出現的 {char} 之前。
tw,一般模式,T{char},游標移動到左側第 N 次出現的 {char} 之前。
tw,一般模式,u,還原變更。
tw,一般模式,U,還原一行內最近所有的變更。
tw,一般模式,<Undo>,"等同於 ""u""。"
tw,一般模式,<Up>,"等同於 ""k""。"
tw,一般模式,v,開始面向字元的可視 (Visual) 模式。
tw,一般模式,V,進入面向行的可視 (Visual) 模式。
tw,一般模式,w,游標前移 N 個單字。
tw,一般模式,W,游標前移 N 個 word。
tw,一般模式,"[""x]C","從游標位置到行尾部分，再加上 N-1 行進行修改 [到暫存器 x]；等同於 ""c$""。"
tw,一般模式,"[""x]cc",刪除 N 行 [到暫存區 x] 並開始編輯。
tw,一般模式,"[""x]c{motion}",刪除 Nmove text [到暫存區 x] 並開始編輯。
tw,一般模式,"[""x]D","刪除位置到行尾部分，再加上 N-1 行的字元 [到暫存器 x]；等同於 ""d$""。"
tw,一般模式,"[""x]dd",刪除 N 行 [到暫存區 x]]。
tw,一般模式,"[""x]<Del>","等同於 ""x""。"
tw,一般模式,"[""x]d{motion}",刪除 Nmove text [到暫存區 x]。
tw,一般模式,"[""x]p",在游標後 [從暫存器 x] 放置 text N 次。
tw,一般模式,"[""x]P",在游標放置 text [到暫存器 x] N 次。
tw,一般模式,"[""x]s",(替換) 刪除 N 個字元 [到暫存區 x] 並開始輸入。
tw,一般模式,"[""x]S","刪除 N 行 [到暫存器 x] 並開始輸入；等同於 ""cc""。"
